state,Population,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac,state_area_sq_miles
Alaska,724357,3,2280,345,2280,580,665384.04
Arizona,7520103,2,1577,237,1577,80,113990.30
California,39613493,21,25948,2738,25948,587,163694.74
Colorado,5893634,22,43682,3258,43682,428,104093.67
Connecticut,3552821,5,358,353,358,256,5543.41
Idaho,1860123,12,16396,1136,16396,415,83568.95
Illinois,12569321,4,191,221,191,191,57913.55
Indiana,6805663,2,165,157,165,165,36419.55
Iowa,3167974,3,140,100,140,140,56272.81
Maine,1354522,9,3216,865,3216,388,35379.74
Maryland,6065436,1,172,121,172,118,12405.93
Massachusetts,6912239,11,1166,671,1166,583,10554.39
Michigan,9992427,28,4406,2389,4406,1946,96713.51
Minnesota,5706398,14,1560,1490,1560,1020,86935.83
Missouri,6169038,2,60,69,60,47,69706.99
Montana,1085004,12,21410,951,21410,710,147039.71
Nevada,3185786,4,2110,415,2110,0,110571.82
New Hampshire,1372203,16,3427,1847,3427,376,9349.16
New Jersey,8874520,2,190,170,190,181,8722.58
New Mexico,2105005,9,5223,966,5223,50,121590.30
New York,19299981,33,5514,2384,5514,2836,54554.98
North Carolina,10701022,6,370,506,370,335,53819.16
Ohio,11714618,5,421,489,421,421,44825.58
Oregon,4289439,10,11774,1180,11774,1127,98378.54
Pennsylvania,12804123,19,1888,1404,1888,1528,46054.34
Rhode Island,1061509,1,30,100,30,30,1544.89
South Dakota,896581,2,950,183,950,0,77115.68
Tennessee,6944260,1,0,83,0,0,42144.25
Utah,3310774,13,30508,1544,30508,642,84896.88
Vermont,623251,15,7239,1777,7239,50,9616.36
Virginia,8603985,4,269,366,269,135,42774.93
Washington,7796941,10,15330,1022,15330,1997,71297.95
West Virginia,1767859,4,542,342,542,187,24230.04
Wisconsin,5852490,15,1750,1519,1750,1065,65496.38
Wyoming,581075,8,6523,716,6523,110,97813.01
